Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,/petclinic/api/owners,2087,0,4,4.610844858162363,1.3769009997304238,51.31422600015867,118.92525155725923,6.96396932757704,0.0,4,5,6,6,8,10,13,14,27,51,51
POST,/petclinic/api/owners/1/pets,4167,0,4,4.5687376424276875,1.278692999676423,44.71237999996447,118.50059995200384,13.90458082798923,0.0,4,5,6,6,8,10,12,14,18,45,45
POST,/petclinic/api/owners/1/pets/1/visits,2159,0,4,4.757588387684956,1.2331640000411426,30.778986000314035,70.49282075034738,7.204221264129769,0.0,4,5,6,7,8,10,12,14,20,31,31
PUT,/petclinic/api/owners/2,2085,0,5,5.680635815828962,1.9251710000389721,43.973916999675566,0.0,6.957295662672797,0.0,5,6,7,8,10,12,15,17,23,44,44
PUT,/petclinic/api/pets/2,2081,0,4,5.043586604035929,1.4690259999952104,58.16438300007576,0.0,6.943948332864312,0.0,4,6,6,7,9,11,13,16,27,58,58
POST,/petclinic/api/pettypes,2026,0,4,4.428970708287185,1.2923350000164646,23.508738000145968,34.09723593287266,6.760422547997643,0.0,4,5,6,6,8,9,12,13,16,24,24
PUT,/petclinic/api/pettypes/2,2025,0,4,4.1679808429650205,1.1601760002122319,33.25527900005909,0.0,6.757085715545522,0.0,4,5,5,6,7,9,11,12,16,33,33
POST,/petclinic/api/specialties,2131,0,4,4.608131612856938,1.2605740002982202,212.94136400001662,42.12904739558893,7.110789955470374,0.0,4,5,6,6,8,10,12,14,30,210,210
PUT,/petclinic/api/specialties/2,2131,0,4,4.517745287193505,1.2731309998343932,37.86814199975197,0.0,7.110789955470374,0.0,4,5,6,6,8,10,12,14,22,38,38
POST,/petclinic/api/vets,1975,0,5,5.731198742782045,1.7850310000540048,64.1246760001195,106.4486075949367,6.59024409293946,0.0,5,6,7,8,10,12,14,15,26,64,64
PUT,/petclinic/api/vets/2,1975,0,5,5.360230081009659,1.7664430001786968,23.64633600018351,0.0,6.59024409293946,0.0,5,6,7,7,9,11,13,15,21,24,24
PUT,/petclinic/api/visits/2,2158,0,4,5.137289114924726,1.478830999985803,43.66561799997726,0.0,7.200884431677648,0.0,4,6,6,7,9,11,14,17,29,44,44
,Aggregated,27000,0,4,4.856465447258999,1.1601760002122319,212.94136400001662,46.788037037037036,90.09447620727363,0.0,4,5,6,7,9,10,13,15,25,58,210
