Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,/petclinic/api/owners,1284,100,2,460.67184126637017,0.9730870006023906,5008.758355999817,110.7367601246106,4.284808086825582,0.3337077949241108,2,2,3,4,190,5000,5000,5000,5000,5000,5000
POST,/petclinic/api/owners/1/pets,2535,260,23,740.3071039826602,1.5230259996314999,24966.289714000595,105.92859960552268,8.459492601326208,0.867640266802688,23,33,44,52,5000,5000,9200,13000,25000,25000,25000
POST,/petclinic/api/owners/1/pets/1/visits,1228,136,49,762.9266338599127,1.9047679998038802,25209.834539999065,62.245114006514655,4.09793172166808,0.45384260109679064,49,71,88,110,5000,5000,7400,9500,24000,25000,25000
PUT,/petclinic/api/owners/2,1271,106,2,649.5300748025032,1.0351419987273403,19927.437704998738,122.82454760031472,4.241426073485448,0.3537302626195574,2,2,2,3,15,5000,10000,10000,15000,20000,20000
PUT,/petclinic/api/pets/2,1246,98,2,547.5146415144549,0.9805359986785334,10013.791040000797,111.48314606741573,4.15799912475442,0.32703363902562854,2,2,2,2,16,5000,5000,8600,10000,10000,10000
POST,/petclinic/api/pettypes,1295,95,2,465.0576214718255,0.9865499996521976,8547.998534999351,31.591505791505792,4.321515944267235,0.31702240517790525,2,2,3,4,1700,5000,5000,5000,5000,8500,8500
PUT,/petclinic/api/pettypes/2,1290,92,1,472.5544711372031,0.8279009998659603,9421.335581999301,29.717829457364342,4.304830554521029,0.3070111713301819,1,2,2,2,27,5000,5000,5000,8900,9400,9400
POST,/petclinic/api/specialties,1273,90,2,441.15987660881865,1.0579109984973911,9855.574080000224,39.09740769835035,4.2481002293839305,0.3003370154316997,2,2,3,3,21,5000,5000,5000,8200,9900,9900
PUT,/petclinic/api/specialties/2,1265,78,1,432.4326369067335,0.85466299969994,8978.02461700121,27.211857707509882,4.221403605790001,0.2602920800408064,1,2,2,2,9,5000,5000,5000,8100,9000,9000
POST,/petclinic/api/vets,1307,151,2,661.3669823573115,1.032901000144193,14322.005293000984,93.80489671002296,4.3615608796581276,0.5038987703354073,2,2,3,4,5000,5000,5000,8000,13000,14000,14000
PUT,/petclinic/api/vets/2,1296,126,2,643.1708255856298,1.0030320008809213,12469.92865899847,101.11111111111111,4.324853022216476,0.42047182160437957,2,2,2,3,5000,5000,7500,9000,10000,12000,12000
PUT,/petclinic/api/visits/2,1222,88,1,490.99166468904394,0.9592360001988709,9972.828143001607,67.7430441898527,4.077909253972634,0.29366285953321747,1,2,2,2,1600,5000,5000,5000,8200,10000,10000
,Aggregated,16512,1420,2,577.2303521012631,0.8279009998659603,25209.834539999065,77.64268410852713,55.10183109786917,4.738650687922373,2,4,15,26,2200,5000,5000,8300,15000,25000,25000
