Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,/petclinic/api/owners,252,0,2,2.0692623412677285,1.1374750010872958,22.764776998883463,119.64682539682539,0.8414367732018663,0.0,2,2,2,2,3,4,5,7,23,23,23
POST,/petclinic/api/owners/1/pets,504,0,5,5.96806938294379,1.3075219994789222,33.318589999908,117.32936507936508,1.6828735464037325,0.0,5,6,7,8,10,13,18,23,33,33,33
POST,/petclinic/api/owners/1/pets/1/visits,259,0,10,10.423526139053685,1.827407999371644,44.82730899871967,69.61389961389962,0.864810016901918,0.0,10,12,13,14,19,23,27,32,45,45,45
PUT,/petclinic/api/owners/2,252,0,1.021289999698638,1.6989402896768528,1.021289999698638,27.88749100000132,134.0,0.8414367732018663,0.0,1,1,2,2,2,4,4,6,28,28,28
PUT,/petclinic/api/pets/2,252,0,1,1.4747043531474084,0.949985000261222,4.532562001259066,121.0,0.8414367732018663,0.0,1,1,1,2,2,3,4,4,5,5,5
POST,/petclinic/api/pettypes,223,0,2,1.95761052023065,1.1664070007100236,8.00520799930382,33.5695067264574,0.7446047635873658,0.0,2,2,2,2,3,4,5,6,8,8,8
PUT,/petclinic/api/pettypes/2,223,0,1,1.506655771353683,0.8812539999780711,5.507679999936954,32.0,0.7446047635873658,0.0,1,1,1,2,3,4,4,5,6,6,6
POST,/petclinic/api/specialties,251,0,2,1.9852127092184877,1.1903499998879852,14.270629000748158,41.59362549800797,0.8380977383875732,0.0,2,2,2,2,3,4,4,6,14,14,14
PUT,/petclinic/api/specialties/2,251,0,1,1.4575905976502204,0.9344160007458413,5.342321999705746,29.0,0.8380977383875732,0.0,1,1,1,1,2,3,4,4,5,5,5
POST,/petclinic/api/vets,251,0,2,2.1204723386736113,1.0282130006089574,11.79768600013631,105.61752988047809,0.8380977383875732,0.0,2,2,2,2,4,4,5,5,12,12,12
PUT,/petclinic/api/vets/2,251,0,1.044773000103305,1.82137215935031,1.044773000103305,6.9541989996650955,112.0,0.8380977383875732,0.0,1,2,2,2,3,4,5,5,7,7,7
PUT,/petclinic/api/visits/2,259,0,1,1.5284945211919612,0.9018349992402364,24.202757000239217,73.0,0.864810016901918,0.0,1,1,1,2,2,3,4,5,24,24,24
,Aggregated,3228,0,2,3.1136217044764036,0.8812539999780711,44.82730899871967,85.94950433705081,10.778404380538191,0.0,2,2,3,4,7,11,14,20,32,45,45
