Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,/petclinic/api/owners,1332,89,2,432.30634323273597,0.9175340001092991,7910.473919999276,112.10585585585585,4.446262454111047,0.29708510391582826,2,2,2,3,20,5000,5000,5000,7800,7900,7900
POST,/petclinic/api/owners/1/pets,2708,245,11,622.7394630384056,2.3786780002410524,28895.15179099999,107.37370753323486,9.039398442742279,0.8178185444873923,11,15,20,24,65,5000,7600,11000,24000,29000,29000
POST,/petclinic/api/owners/1/pets/1/visits,1294,111,22,625.2955697781973,3.3370820001437096,42897.96170699992,64.06336939721793,4.319417128843615,0.3705218711759206,22,32,40,48,120,5000,8200,9700,34000,43000,43000
PUT,/petclinic/api/owners/2,1317,107,2,567.50414215033,0.8963430000221706,20002.98752300023,123.11313591495824,4.396191930979167,0.3571697316740856,2,2,2,2,5,5000,8700,10000,18000,20000,20000
PUT,/petclinic/api/pets/2,1373,95,2,466.62245342824093,0.8362529997612,10005.285733999699,112.62782228696285,4.583121884004856,0.3171133131685807,2,2,2,2,4,5000,5000,8300,10000,10000,10000
POST,/petclinic/api/pettypes,1431,100,2,427.98629368553446,0.9303429997089552,9265.123105000384,31.793151642208247,4.776727906781463,0.3338034875458744,2,2,2,3,17,5000,5000,5000,8700,9300,9300
PUT,/petclinic/api/pettypes/2,1423,91,1,417.3741885003481,0.744284000575135,9761.501174999466,29.953619114546733,4.750023627777793,0.3037611736667457,1,2,2,2,5,5000,5000,5000,9800,9800,9800
POST,/petclinic/api/specialties,1309,80,2,380.4957181199344,0.9361820002595778,8936.76141099968,39.53323147440795,4.369487651975496,0.26704279003669956,2,2,2,3,14,5000,5000,5000,8700,8900,8900
PUT,/petclinic/api/specialties/2,1307,78,1,377.3762375271666,0.7596969999212888,10012.795955999536,27.269319051262432,4.3628115822245785,0.26036672028578206,1,2,2,2,4,5000,5000,5000,10000,10000,10000
POST,/petclinic/api/vets,1372,99,2,528.249168709202,0.9526530002403888,17545.7734470001,98.48542274052478,4.579783849129397,0.33046545267041566,2,2,2,3,12,5000,7200,9500,17000,18000,18000
PUT,/petclinic/api/vets/2,1367,103,2,500.8564254089359,0.9138260002146126,15003.483190000225,103.56108266276517,4.563093674752103,0.34381759217225066,2,2,2,3,6,5000,5000,10000,15000,15000,15000
PUT,/petclinic/api/visits/2,1291,77,1,395.40181203562605,0.8178779999070684,9994.307588000083,68.64601084430674,4.3094030242172385,0.2570286854103233,1,2,2,2,4,5000,5000,5000,5000,10000,10000
,Aggregated,17524,1275,2,489.44204476512175,0.744284000575135,42897.96170699992,78.78286920794339,58.49572315753903,4.2559944662098985,2,3,7,11,42,5000,5000,8100,15000,34000,43000
