Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,/petclinic/api/owners,1553,1062,2,270.0654273554306,1.0454530001879903,5004.050747998917,38.57179652285898,5.183244906654137,3.544498448722919,2,2,3,3,9,3500,5000,5000,5000,5000,5000
POST,/petclinic/api/owners/1/pets,3113,1201,23,542.7363967542644,1.4853209995635552,37739.88692000057,72.77192418888532,10.389852797433566,4.008420562068009,23,34,44,53,130,5000,8600,13000,24000,38000,38000
POST,/petclinic/api/owners/1/pets/1/visits,1534,49,27,293.90106529335327,4.1675539996504085,5338.886498999273,68.01825293350717,5.119831092599772,0.16354088887704618,28,43,57,68,160,3400,5000,5000,5300,5300,5300
PUT,/petclinic/api/owners/2,1538,52,2,259.0715254343145,0.9737319996929727,5031.475075998969,130.43563068920676,5.133181369242797,0.1735535963593143,2,2,2,3,4,3900,5000,5000,5000,5000,5000
PUT,/petclinic/api/pets/2,1566,67,2,374.0623368435504,0.9002289989439305,13836.59418500065,115.82311621966794,5.226633305743966,0.22361713377065498,2,2,2,2,3,5000,7300,9600,10000,14000,14000
POST,/petclinic/api/pettypes,1513,63,2,290.806346481159,0.9687570000096457,5004.759367999213,33.78122934567085,5.049742140223895,0.2102668571276308,2,2,3,3,10,3800,5000,5000,5000,5000,5000
PUT,/petclinic/api/pettypes/2,1508,47,2,270.51601292506547,0.8300450008391635,5025.852041999315,31.0026525198939,5.033054294420115,0.1568657505555341,2,2,2,2,3,3500,5000,5000,5000,5000,5000
POST,/petclinic/api/specialties,1480,60,2,300.7188537939242,0.9124639982474037,5003.975147999881,41.47432432432432,4.939602357918946,0.20025414964536267,2,2,3,3,12,4200,5000,5000,5000,5000,5000
PUT,/petclinic/api/specialties/2,1474,46,2,267.17984478085566,0.8157610009220662,5027.792988999863,28.09497964721845,4.91957694295441,0.15352818139477806,2,2,2,2,4,3100,5000,5000,5000,5000,5000
POST,/petclinic/api/vets,1512,66,2,309.75308865673577,1.0008600002038293,5005.592690999038,101.60912698412699,5.046404571063139,0.22027956460989892,2,2,3,3,12,4400,5000,5000,5000,5000,5000
PUT,/petclinic/api/vets/2,1506,43,2,288.3456791155603,0.9478979991399683,5040.831756999978,108.80212483399734,5.026379156098603,0.1435154739125099,2,2,2,3,5,3500,5000,5000,5000,5000,5000
PUT,/petclinic/api/visits/2,1528,37,2,237.4219871355012,0.8545929995307233,5030.784189999395,71.23232984293193,5.099805677635236,0.12349005894797364,2,2,2,2,4,2400,5000,5000,5000,5000,5000
,Aggregated,19825,2793,2,327.67813746446524,0.8157610009220662,37739.88692000057,70.60575031525852,66.16730861198859,9.321830665991632,2,3,7,17,53,3700,5000,5000,17000,28000,38000
