Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,/petclinic/api/owners,1,0,35.16150799987372,35.16150799987372,35.16150799987372,35.16150799987372,120.0,0.21444820045291613,0.0,35,35,35,35,35,35,35,35,35,35,35
POST,/petclinic/api/owners/1/pets,3,0,17,21.696771999510627,11.187006999534788,36.45583499746863,118.33333333333333,0.6433446013587484,0.0,17,17,36,36,36,36,36,36,36,36,36
POST,/petclinic/api/owners/1/pets/1/visits,4,0,21,75.55382224927598,20.114504997764016,231.95492200102308,68.0,0.8577928018116645,0.0,29,29,230,230,230,230,230,230,230,230,230
PUT,/petclinic/api/owners/2,1,0,24.455457998556085,24.455457998556085,24.455457998556085,24.455457998556085,0.0,0.21444820045291613,0.0,24,24,24,24,24,24,24,24,24,24,24
PUT,/petclinic/api/pets/2,2,0,18,22.277902500718483,17.595252000319306,26.96055300111766,0.0,0.42889640090583225,0.0,27,27,27,27,27,27,27,27,27,27,27
POST,/petclinic/api/pettypes,1,0,35.634908999782056,35.634908999782056,35.634908999782056,35.634908999782056,33.0,0.21444820045291613,0.0,36,36,36,36,36,36,36,36,36,36,36
PUT,/petclinic/api/pettypes/2,1,0,15.152853000472533,15.152853000472533,15.152853000472533,15.152853000472533,0.0,0.21444820045291613,0.0,15,15,15,15,15,15,15,15,15,15,15
POST,/petclinic/api/vets,1,0,125.73451500065858,125.73451500065858,125.73451500065858,125.73451500065858,104.0,0.21444820045291613,0.0,130,130,130,130,130,130,130,130,130,130,130
PUT,/petclinic/api/vets/2,1,0,19.295657002658118,19.295657002658118,19.295657002658118,19.295657002658118,0.0,0.21444820045291613,0.0,19,19,19,19,19,19,19,19,19,19,19
PUT,/petclinic/api/visits/2,4,0,30,39.758224000252085,25.87554199999431,71.34886000130791,0.0,0.8577928018116645,0.0,32,32,71,71,71,71,71,71,71,71,71
,Aggregated,19,0,27,43.49101084210959,11.187006999534788,231.95492200102308,46.526315789473685,4.0745158086054065,0.0,27,32,36,36,130,230,230,230,230,230,230
