Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,/petclinic/api/owners,266,0,7,6.354106402255919,2.312863999975434,23.86867299999551,120.0,0.8888036890488378,0.0,7,7,8,8,9,10,12,12,24,24,24
POST,/petclinic/api/owners/1/pets,497,0,7,6.320524941649393,2.1353419999741163,20.31625300000428,118.53521126760563,1.66065952427546,0.0,7,8,8,8,9,11,13,16,20,20,20
POST,/petclinic/api/owners/1/pets/1/visits,226,0,7,6.88977284070607,2.3949889999812513,48.24745400000552,69.5575221238938,0.7551489989663057,0.0,7,8,8,8,10,11,16,18,48,48,48
PUT,/petclinic/api/owners/2,266,0,8,8.188938003758777,3.1920749999585496,29.613963999992166,0.0,0.8888036890488378,0.0,8,9,11,11,14,15,19,21,30,30,30
PUT,/petclinic/api/pets/2,231,0,7,7.00451235065055,2.4500900000248294,23.406222000005528,0.0,0.7718558352266223,0.0,7,8,9,9,11,13,19,22,23,23,23
POST,/petclinic/api/pettypes,246,0,7,6.2058773170743216,2.166020999993634,14.091968999991877,34.609756097560975,0.8219763440075718,0.0,7,7,8,8,9,10,12,12,14,14,14
PUT,/petclinic/api/pettypes/2,246,0,6,5.760869695122074,2.062228999989202,19.73316599998043,0.0,0.8219763440075718,0.0,6,7,7,7,8,10,15,15,20,20,20
POST,/petclinic/api/specialties,257,0,7,6.39658979377618,2.2840199999905053,17.331334999994397,42.60311284046693,0.858731383780268,0.0,7,7,8,8,9,10,11,13,17,17,17
PUT,/petclinic/api/specialties/2,257,0,7,6.197284105057925,2.117462000001069,16.57151300000237,0.0,0.858731383780268,0.0,7,7,8,8,9,11,12,13,17,17,17
POST,/petclinic/api/vets,257,0,9,9.99304751751024,3.0984590000002754,298.9411220000022,105.62645914396887,0.858731383780268,0.0,9,10,11,11,13,16,20,24,300,300,300
PUT,/petclinic/api/vets/2,257,0,5,6.78988068871649,2.8097990000333084,30.595101000002956,0.0,0.858731383780268,0.0,5,7,9,10,13,15,19,23,31,31,31
PUT,/petclinic/api/visits/2,226,0,8,7.728735783186958,2.3979260000146496,29.347001999994404,0.0,0.7551489989663057,0.0,8,9,9,10,12,15,22,25,29,29,29
,Aggregated,3232,0,7,6.938500592822016,2.062228999989202,298.9411220000022,47.38892326732673,10.799298958668585,0.0,7,8,8,9,11,13,16,19,30,300,300
