Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1733366383,0,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1733366384,1,,Aggregated,0.000000,0.000000,220,220,220,220,220,220,220,220,220,220,220,2,0,70,146.0196719999658,69.8452910000924,222.1940529998392,34.0
1733366385,2,,Aggregated,0.000000,0.000000,70,70,220,220,220,220,220,220,220,220,220,4,0,21,82.63829375027854,17.49032900261227,222.1940529998392,25.25
1733366386,3,,Aggregated,1.000000,0.000000,19,24,70,70,120,220,220,220,220,220,220,11,0,19,50.195943091239315,10.404751999885775,222.1940529998392,43.36363636363637
1733366387,4,,Aggregated,1.000000,0.000000,18,21,24,70,120,220,220,220,220,220,220,13,0,18,44.37502246191098,10.404751999885775,222.1940529998392,41.92307692307692
1733366388,5,,Aggregated,3.000000,0.000000,19,24,24,25,70,120,220,220,220,220,220,23,0,19,32.9190969565863,5.470549000165192,222.1940529998392,42.0
1733366389,6,,Aggregated,3.250000,0.000000,19,21,24,25,70,120,220,220,220,220,220,30,0,18,28.592750066673034,5.470549000165192,222.1940529998392,44.766666666666666
1733366390,7,,Aggregated,3.400000,0.000000,14,20,21,24,26,70,220,220,220,220,220,41,0,14,23.718858731693373,5.18470899987733,222.1940529998392,47.90243902439025
1733366391,8,,Aggregated,4.666667,0.000000,14,18,21,21,25,70,120,220,220,220,220,52,0,14,21.716940519162073,5.18470899987733,222.1940529998392,48.34615384615385
1733366392,9,,Aggregated,4.571429,0.000000,14,18,21,21,25,29,120,220,220,220,220,69,0,14,20.013776260674458,4.6841559997119475,222.1940529998392,51.63768115942029
1733366393,10,,Aggregated,6.000000,0.000000,13,16,19,21,24,26,120,220,220,220,220,83,0,13,18.42325459012982,4.6841559997119475,222.1940529998392,53.30120481927711
