Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/petclinic/api/owners,2,0,110.0,112.92367600003672,107.59567600007358,118.25167599999986,241211.5,0.237394899243527,0.0,120,120,120,120,120,120,120,120,120,120,120
POST,/petclinic/api/owners,3,0,19,74.86753366674748,5.556256000090798,200.49594900001466,130.0,0.35609234886529045,0.0,19,19,200,200,200,200,200,200,200,200,200
PUT,/petclinic/api/owners/1,1,0,26.206925999758823,26.206925999758823,26.206925999758823,26.206925999758823,0.0,0.1186974496217635,0.0,26,26,26,26,26,26,26,26,26,26,26
POST,/petclinic/api/owners/1011/pets,1,0,55.58015299993713,55.58015299993713,55.58015299993713,55.58015299993713,107.0,0.1186974496217635,0.0,56,56,56,56,56,56,56,56,56,56,56
GET,/petclinic/api/pets,11,0,120.0,128.79821718177647,85.11114300017653,308.02230199969927,108973.36363636363,1.3056719458393984,0.0,120,120,130,130,130,310,310,310,310,310,310
DELETE,/petclinic/api/pets/158,1,0,10.892538000007335,10.892538000007335,10.892538000007335,10.892538000007335,0.0,0.1186974496217635,0.0,11,11,11,11,11,11,11,11,11,11,11
DELETE,/petclinic/api/pets/21,1,0,28.206410999700893,28.206410999700893,28.206410999700893,28.206410999700893,0.0,0.1186974496217635,0.0,28,28,28,28,28,28,28,28,28,28,28
DELETE,/petclinic/api/pets/376,1,0,6.595548999939638,6.595548999939638,6.595548999939638,6.595548999939638,0.0,0.1186974496217635,0.0,7,7,7,7,7,7,7,7,7,7,7
DELETE,/petclinic/api/pets/585,1,0,6.368672999997216,6.368672999997216,6.368672999997216,6.368672999997216,0.0,0.1186974496217635,0.0,6,6,6,6,6,6,6,6,6,6,6
DELETE,/petclinic/api/pets/905,1,0,6.548586999997497,6.548586999997497,6.548586999997497,6.548586999997497,0.0,0.1186974496217635,0.0,7,7,7,7,7,7,7,7,7,7,7
DELETE,/petclinic/api/pets/915,1,0,7.84544799989817,7.84544799989817,7.84544799989817,7.84544799989817,0.0,0.1186974496217635,0.0,8,8,8,8,8,8,8,8,8,8,8
,Aggregated,24,0,95,83.97810945829558,5.556256000090798,308.02230199969927,70067.79166666667,2.8487387909223236,0.0,97,110,120,120,130,200,310,310,310,310,310
